das Kaff	chaff[nordd.] [Spreu][agr.] 
die Vorlesung	lecture
die Abfassung	composition	
die Aufstockung	addition of storeys[constr.] 
die Kelterei	wine press house
beabsichtigt für	intended for		
die Einspielung	recording
die Ergebnisse	outcomes
in aller Herrgottsfrühe	at the crack of dawn [idiom]
der Vorschein	anticipation	
ankündigen	[auch fig.] to usher in
der Aussteiger	escapist	
die Wildnis	wilderness
verwirklichen	to achieve	
	
der Zeitraffer	fast motion; time lapse	
klammheimlich	clandestine(adj, adv)	
spielsüchtig sein	to be a compulsive gambler
seriös	serious
der Klickgarant	click-bait	
ausgezeichnet excellent; fine
zocken	to gamble
voreilig	premature; hasty (adj, adv)
scheitern	to fail	
das Hirnareal	brain area
übermäßig	excessive
zerstreuen	to dissipate
der Proband	test person
überrannt	overrun; overwhelmed
erforschen	to investigate
etw(akk) umkehren	to reverse/invert sth
die Vorstufe	preliminary stage

